,date,open,high,low,close,volume,wap,barCount
0,19930216,44.47,44.47,43.41,43.47,374800,43.469,1
1,19930217,43.47,43.53,43.28,43.44,210900,43.4375,1
2,19930218,43.94,43.94,42.81,43.41,378100,43.406,1
3,19930219,43.41,43.56,43.34,43.56,34900,43.5625,1
4,19930222,43.69,43.78,43.56,43.72,513600,43.719,1
5,19930223,43.84,43.88,43.47,43.69,373700,43.6875,1
6,19930224,43.72,44.25,43.72,44.25,26300,44.25,1
7,19930225,44.22,44.38,44.13,44.34,44500,44.344,1
8,19930226,44.44,44.44,44.19,44.41,66200,44.406,1
9,19930301,44.56,44.56,44.22,44.28,66500,44.281,1
10,19930302,44.31,44.94,44.25,44.94,182400,44.9375,1
11,19930303,45.0,45.16,44.94,45.13,280100,45.125,1
12,19930304,45.19,45.19,44.88,44.88,89500,44.88,1
13,19930305,44.94,45.13,44.72,44.75,40000,44.75,1
14,19930308,44.84,45.75,44.84,45.75,50800,45.75,1
15,19930309,45.66,45.69,45.5,45.59,169300,45.594,1
16,19930310,45.59,45.69,45.41,45.69,194400,45.6875,1
17,19930311,45.72,45.84,45.5,45.56,70900,45.5625,1
18,19930312,45.19,45.22,44.81,45.09,643600,45.094,1
19,19930315,45.06,45.31,45.06,45.31,310800,45.3125,1
20,19930316,45.31,45.44,45.31,45.31,30800,45.3125,1
21,19930317,45.25,45.25,44.97,45.03,21800,45.031,1
22,19930318,45.22,45.5,45.22,45.31,59300,45.3125,1
23,19930319,45.28,45.28,45.03,45.03,66900,45.031,1
24,19930322,44.59,44.88,44.56,44.78,183400,44.781,1
25,19930323,44.91,44.94,44.81,44.88,55200,44.875,1
26,19930324,44.81,45.06,44.59,44.88,37200,44.875,1
27,19930325,44.91,45.25,44.84,45.16,110100,45.156,1
28,19930326,45.13,45.16,44.88,44.91,101500,44.906,1
29,19930329,44.94,45.31,44.94,45.09,87100,45.094,1
30,19930330,45.16,45.22,45.09,45.22,56000,45.219,1
31,19930331,45.34,45.47,45.19,45.19,111600,45.19,1
32,19930401,45.25,45.25,44.94,45.03,129500,45.031,1
33,19930402,44.66,44.66,44.09,44.09,59400,44.094,1
34,19930405,44.44,44.44,44.19,44.31,172200,44.3125,1
35,19930406,44.41,44.41,44.06,44.19,129700,44.1875,1
36,19930407,44.25,44.34,44.16,44.34,28000,44.344,1
37,19930408,44.53,44.53,44.09,44.28,180800,44.281,1
38,19930412,44.72,44.94,44.66,44.91,348500,44.906,1
39,19930413,44.88,45.16,44.84,45.0,146100,45,1
40,19930414,45.03,45.06,44.91,44.94,119600,44.9375,1
41,19930415,44.91,45.03,44.75,44.94,148600,44.9375,1
42,19930416,44.97,45.03,44.88,44.94,47900,44.9375,1
43,19930419,44.94,45.06,44.72,44.75,157000,44.75,1
44,19930420,44.69,44.75,44.25,44.53,279500,44.531,1
45,19930421,44.63,44.63,44.38,44.5,67900,44.5,1
46,19930422,44.31,44.69,43.94,43.94,97700,43.94,1
47,19930423,43.84,43.97,43.69,43.75,106000,43.75,1
48,19930426,43.78,43.94,43.28,43.41,62600,43.406,1
49,19930427,43.34,43.88,43.34,43.88,156800,43.875,1
50,19930428,43.81,43.91,43.72,43.78,85900,43.781,1
51,19930429,43.88,43.97,43.63,43.97,85000,43.969,1
52,19930430,44.13,44.28,44.03,44.03,88500,44.031,1
53,19930503,44.09,44.31,43.91,44.31,80500,44.3125,1
54,19930504,44.41,44.63,44.34,44.47,149100,44.469,1
55,19930505,44.47,44.75,44.47,44.59,109000,44.594,1
56,19930506,44.53,44.56,44.41,44.44,54700,44.4375,1
57,19930507,44.47,44.47,44.28,44.34,68000,44.344,1
58,19930510,44.41,44.69,44.41,44.44,113900,44.4375,1
59,19930511,44.44,44.63,44.31,44.63,42600,44.625,1
60,19930512,44.44,44.59,44.44,44.56,31000,44.5625,1
61,19930513,44.38,44.38,44.0,44.03,129100,44.031,1
62,19930514,44.03,44.16,43.97,44.0,63500,44,1
63,19930517,44.13,44.16,43.94,44.16,34000,44.156,1
64,19930518,44.19,44.22,43.97,44.13,105200,44.125,1
65,19930519,44.13,45.03,43.84,45.03,50200,45.031,1
66,19930520,45.03,45.16,44.94,45.16,98200,45.156,1
67,19930521,45.19,45.25,44.72,44.75,221400,44.75,1
68,19930524,44.84,45.09,44.84,44.94,30500,44.9375,1
69,19930525,45.13,45.13,45.03,45.03,191800,45.031,1
70,19930526,45.16,45.63,45.13,45.59,102400,45.594,1
71,19930527,45.66,45.66,45.38,45.44,53800,45.4375,1
72,19930528,45.41,45.41,45.0,45.22,79100,45.219,1
73,19930601,45.38,45.81,45.31,45.66,28300,45.656,1
74,19930602,45.53,45.75,45.34,45.59,20300,45.594,1
75,19930603,45.5,45.5,45.34,45.44,21600,45.4375,1
76,19930604,45.31,45.31,45.09,45.28,32000,45.281,1
77,19930607,45.38,45.38,45.13,45.13,121400,45.13,1
78,19930608,45.0,45.0,44.72,44.72,104500,44.72,1
79,19930609,44.88,45.06,44.81,44.88,43300,44.875,1
80,19930610,44.84,44.94,44.75,44.91,17900,44.906,1
81,19930611,45.06,45.16,44.91,45.09,647400,45.094,1
82,19930614,45.16,45.19,45.03,45.03,64200,45.031,1
83,19930615,45.09,45.13,44.94,44.94,142400,44.94,1
84,19930616,44.94,45.03,44.81,45.03,330900,45.031,1
85,19930617,45.13,45.19,45.03,45.19,37400,45.1875,1
86,19930618,44.84,44.84,44.5,44.5,58500,44.5,1
87,19930621,44.63,44.63,44.53,44.59,29300,44.594,1
88,19930622,44.66,44.66,44.56,44.63,137500,44.625,1
89,19930623,44.63,44.63,44.22,44.22,227600,44.22,1
90,19930624,44.34,44.81,44.34,44.81,243700,44.8125,1
91,19930625,44.78,44.91,44.75,44.78,44800,44.781,1
92,19930628,45.0,45.28,44.94,45.28,439900,45.281,1
93,19930629,45.22,45.22,45.0,45.06,207500,45.0625,1
94,19930630,45.13,45.22,45.0,45.06,437600,45.0625,1
95,19930701,45.13,45.13,44.88,44.94,605700,44.9375,1
96,19930702,44.78,44.81,44.53,44.69,285400,44.6875,1
97,19930706,44.63,44.75,44.16,44.22,246400,44.219,1
98,19930707,44.19,44.41,44.19,44.34,343700,44.344,1
