,conId,symbol,secType,primaryExchange,currency,derivSecTypes,description,issuerId
0,38198926,AB,STK,NYSE,USD, CFD OPT BAG,ALLIANCEBERNSTEIN HOLDING LP,
1,74724896,AB,STK,SBF,EUR, CFD OPT IOPT BAG,AB SCIENCE SA,
2,141436147,ABCYX,FUND,FUNDSERV,USD,,The London Company Income Eqty Fund  - Y (American Beacon),
3,141169249,ABCIX,FUND,FUNDSERV,USD,,The London Company Income Eqty Fund  -R5 (American Beacon),
4,141428115,ABLYX,FUND,FUNDSERV,USD,,Large Cap Value Fund  - Y (American Beacon),
5,141428118,ABSYX,FUND,FUNDSERV,USD,,Small Cap Value Fund  - Y (American Beacon),
6,141428109,ABEYX,FUND,FUNDSERV,USD,,International Equity Fund  - Y (American Beacon),
7,209684724,ABRVX,FUND,FUNDSERV,USD,,ABR DYNAMIC BLEND EQUITY & VOLATILITY FUND (ABR Dynamic Mutual Funds),
8,141169245,ABCAX,FUND,FUNDSERV,USD,,The London Company Income Eqty Fund  - A (American Beacon),
9,391312225,ABMIX,FUND,FUNDSERV,USD,,AMG Managers Fairpointe Mid Cap I (AMG Funds),
10,141169252,ABCVX,FUND,FUNDSERV,USD,,The London Company Income Eqty Fund  - V (American Beacon),
11,141166538,ABSAX,FUND,FUNDSERV,USD,,Small Cap Value Fund  - A (American Beacon),
12,291086585,ABRSX,FUND,FUNDSERV,USD,,ABR ENHANCED SHORT VOLATIVITY FUND (ABR Dynamic Mutual Funds),
13,209684991,ABRTX,FUND,FUNDSERV,USD,,ABR DYNAMIC BLEND EQUITY & VOLATILITY FUND (ABR Dynamic Mutual Funds),
14,141166402,ABFAX,FUND,FUNDSERV,USD,,Balanced Fund  - A (American Beacon),
15,32950503,ABAQ,IND,NASDAQ,USD,,ABA COMMUNITY BANKERS NASDAQ INDEX,
16,118089500,ABBV,STK,NYSE,USD, CFD OPT IOPT WAR BAG,ABBVIE INC,
17,4065,ABT,STK,NYSE,USD, CFD OPT IOPT WAR BAG,ABBOTT LABORATORIES .,
18,251259604,ABI,STK,ENEXT.BE,EUR, CFD OPT IOPT WAR FUT BAG,ANHEUSER-BUSCH INBEV SA/NV,
19,11962137,ABB,STK,NYSE,USD, CFD OPT BAG,ABB LTD-SPON ADR,
20,2682965,ABBN,STK,EBS,CHF, CFD OPT IOPT WAR BAG,ABB LTD-REG,
21,459530964,ABNB,STK,NASDAQ,USD, CFD OPT IOPT WAR BAG,AIRBNB INC-CLASS A,
22,137736417,ABEV,STK,NYSE,USD, CFD OPT IOPT BAG,AMBEV SA-ADR,
23,137936366,ABEV3,STK,BOVESPA,BRL, CFD,AMBEV SA,
24,4458865,ABX,STK,TSE,CAD, OPT WAR BAG,BARRICK GOLD CORP,
25,1714996,ABC,STK,NYSE,USD, CFD OPT IOPT BAG,AMERISOURCEBERGEN CORP.,
26,917376,ABE,STK,VALUE,EUR,,ABERTIS INFRAESTRUCTURAS SA,
27,406709285,ABDBY,STK,VALUE,USD,,ALM BRAND A/S - ADR,
28,908924,ABF,STK,LSE,GBP, CFD OPT IOPT BAG,ASSOCIATED BRITISH FOODS PLC,
29,360984660,ABMD,STK,MEXI,MXN,,ABIOMED INC,
30,265655,ABMD,STK,VALUE,USD, CFD IOPT,ABIOMED INC,
31,141427492,LDLFX,FUND,FUNDSERV,USD,,LORD ABBETT SHORT DURATION INCOME CL F (LORD ABBETT & CO LLC),
32,141155706,LALDX,FUND,FUNDSERV,USD,,LORD ABBETT SHORT DURATION INCOME CL A (LORD ABBETT & CO LLC),
33,141162279,LLDYX,FUND,FUNDSERV,USD,,LORD ABBETT SHORT DURATION INCOME CL I (LORD ABBETT & CO LLC),
34,141427144,LBDFX,FUND,FUNDSERV,USD,,LORD ABBETT BOND DEBENTURE FUND CLASS F (LORD ABBETT & CO LLC),
35,321207353,LUBAX,FUND,FUNDSERV,USD,,Lord Abbett Ultra Short Bond Class A (LORD ABBETT & CO LLC),
36,141154141,LBNDX,FUND,FUNDSERV,USD,,LORD ABBETT BOND DEBENTURE FUND CLASS A (LORD ABBETT & CO LLC),
37,347895925,LUBFX,FUND,FUNDSERV,USD,,Lord Abbett Ultra Short Bond Class F (LORD ABBETT & CO LLC),
38,89507333,LAFFX,FUND,FUNDSERV,USD,,LORD ABBETT AFFILIATED FUND CLASS A (LORD ABBETT & CO LLC),
39,141158564,LBNYX,FUND,FUNDSERV,USD,,LORD ABBETT BOND DEBENTURE FUND CLASS I (LORD ABBETT & CO LLC),
40,141426091,LFRFX,FUND,FUNDSERV,USD,,LORD ABBETT FLOATING RATE FUND CLASS F (LORD ABBETT & CO LLC),
41,228790010,NIFTYGS15,IND,NSE,INR,,Nifty 15 yr and above G-Sec Index,
42,40387312,AAE,IND,CME,USD,,S&P CUSTOM ABN AMRO RENEW ENERGY CME,
43,134007044,AKABY.OLD,STK,VALUE,USD,,ALK-ABELLO A/S-SPON ADR,
44,335623976,NRDBY,STK,PINK,USD,,NORDEA BANK ABP - SPON ADR,
45,335134428,NDA2,STK,HEX,EUR, CFD IOPT,NORDEA BANK ABP,
46,59651165,ATLKY,STK,PINK,USD,,ATLAS COPCO AB-SPONS ADR A,
47,560782598,ATCO.A,STK,SFB,SEK, CFD OPT IOPT FUT BAG,ATLAS COPCO AB-A SHS,
48,489524872,INVE.B,STK,SFB,SEK, CFD OPT IOPT FUT BAG,INVESTOR AB-B SHS,
49,218120785,VLVLY,STK,PINK,USD,,VOLVO AB-B SHS-UNSPON ADR,
50,917920,VOLV.B,STK,SFB,SEK, CFD OPT IOPT WAR FUT BAG,VOLVO AB-B SHS,
51,100069008,HXGBY,STK,PINK,USD,,HEXAGON AB- UNSP ADR,
52,490414358,HEXA.B,STK,SFB,SEK, CFD OPT IOPT BAG,HEXAGON AB-B SHS,
53,384792914,EQT,STK,SFB,SEK, CFD OPT IOPT BAG,EQT AB,
54,64848029,SDVKY,STK,PINK,USD,,SANDVIK AB-SPONSORED ADR,
55,245152296,EVVTY,STK,PINK,USD,,EVOLUTION AB-ADR,
56,8769361,SAND,STK,SFB,SEK, CFD OPT IOPT WAR FUT BAG,SANDVIK AB,
57,366244347,EVO,STK,SFB,SEK, CFD OPT IOPT BAG,EVOLUTION AB,
58,-1,,BOND,,,,People's Republic of China Sta,e3884987
59,-1,,BOND,,,,Agricultural Bank of China Ltd,e1607025
60,-1,,BOND,,,,Banco Santander SA,e1416956
61,-1,,BOND,,,,Absa Group Ltd,e1603939
62,-1,,BOND,,,,Santander UK Group Holdings PL,e2880521
63,-1,,BOND,,,,ABN AMRO Bank NV,e1631838
64,-1,,BOND,,,,Stichting Administratiekantoor,e3522245
65,-1,,BOND,,,,Grasim Industries Ltd,e1440716
66,-1,,BOND,,,,Aditya Birla Capital Ltd,e1649174
67,-1,,BOND,,,,Aditya Birla Finance Ltd,e3885842
68,-1,,BOND,,,,AbbVie Inc,e1661136
69,-1,,BOND,,,,KKR & Co Inc,e4806433
70,-1,,BOND,,,,Acme Group,e3885886
71,-1,,BOND,,,,Andorra Banc Agricol Reig SA,e3321245
72,-1,,BOND,,,,AB Financial Products DAC,e3256924
73,-1,,BOND,,,,Nordea Bank Abp,e3292377
74,-1,,BOND,,,,Absa Bank Ltd,e1681399
75,-1,,BOND,,,,AB SVENSK EXPORTKREDIT ACC RTN NT L,e1448799
76,-1,,BOND,,,,First Abu Dhabi Bank PJSC,e3296597
77,-1,,BOND,,,,Nordea Bank AB/New York Branch,e3241992
78,-1,,BOND,,,,SBAB Bank AB,e2829527
79,-1,,BOND,,,,Vasakronan AB,e3303655
80,-1,,BOND,,,,Vasakronan Holding AB,e3858261
81,-1,,BOND,,,,Kommuninvest I Sverige AB,e3735390
82,-1,,BOND,,,,Abu Dhabi Commercial Bank,e1586021
83,-1,,BOND,,,,Lansforsakringar Bank AB,e2829206
84,-1,,BOND,,,,Lansforsakringar AB,e4456719
85,-1,,BOND,,,,Skandinaviska Enskilda Banken AB/New York NY,e1681634
86,-1,,BOND,,,,Volvo AB,e1406356
87,-1,,BOND,,,,Volvo Treasury AB,e1634099
