,0
0,"92140102,IB,IND,,0,,,,SNFE,AUD,,,False,,,30 Day Interbank Cash Rate,combo:"
1,"160607267,IB,STK,,0,,,,BVME,EUR,,,False,,,INIZIATIVE BRESCIANE-INBRE S,combo:"
2,"234006598,IB,STK,,0,,,,VENTURE,CAD,,,False,,,IBC ADVANCED ALLOYS CORP,combo:"
3,"141155381,IBNAX,FUND,,0,,,,FUNDSERV,USD,,,False,,,IVY BALANCED A (Ivy Funds),combo:"
4,"141441515,IBALX,FUND,,0,,,,FUNDSERV,USD,,,False,,,TRANSAMERICA MULTI-MANAGED BALANCED -A (Transamerica Mutual Funds),combo:"
5,"141155386,IBOAX,FUND,,0,,,,FUNDSERV,USD,,,False,,,IVY SECURIAN CORE BOND FUND (Ivy Funds),combo:"
6,"141169411,IBIAX,FUND,,0,,,,FUNDSERV,USD,,,False,,,IVY GLOBAL EQUITY INCOME FUND A (Ivy Funds),combo:"
7,"163241593,IBNDX,FUND,,0,,,,FUNDSERV,USD,,,False,,,IVY SECURIAN CORE BOND FUND (Ivy Funds),combo:"
8,"141436657,IBIIX,FUND,,0,,,,FUNDSERV,USD,,,False,,,IVY GLOBAL EQUITY INCOME FUND I (Ivy Funds),combo:"
9,"141419919,IBNCX,FUND,,0,,,,FUNDSERV,USD,,,False,,,IVY BALANCED C (Ivy Funds),combo:"
10,"141419921,IBNYX,FUND,,0,,,,FUNDSERV,USD,,,False,,,IVY BALANCED Y (Ivy Funds),combo:"
11,"162944216,IBARX,FUND,,0,,,,FUNDSERV,USD,,,False,,,IVY BALANCED FUND N (Ivy Funds),combo:"
12,"141419869,IBOCX,FUND,,0,,,,FUNDSERV,USD,,,False,,,IVY SECURIAN CORE BOND FUND (Ivy Funds),combo:"
13,"141419873,IBOYX,FUND,,0,,,,FUNDSERV,USD,,,False,,,IVY SECURIAN CORE BOND FUND (Ivy Funds),combo:"
14,"291920854,IBJCX,FUND,,0,,,,FUNDSERV,USD,,,False,,,IVY CORPORATE BOND FUND (Ivy Funds),combo:"
15,"1328303,IBEX35,IND,,0,,,,MEFFRV,EUR,,,False,,,IBEX 35 Index,combo:"
16,"13796838,IBEX,IND,,0,,,,MEFFRV,EUR,,,False,,,IBEX 35 Index Mini,combo:"
17,"332783962,IBXXIBHY,IND,,0,,,,CBOE,USD,,,False,,,iBoxx iShares $ High Yield Corporate Bond Index TR,combo:"
18,"336206507,IBXXIBIG,IND,,0,,,,CBOE,USD,,,False,,,iBoxx iShares $ Investment Grade Corporate Bond Index TR,combo:"
19,"115644230,IBAA,IND,,0,,,,CME,USD,,,False,,,Bovespa Index - USD,combo:"
20,"134038863,IBDC.IV,IND,,0,,,,PSE,USD,,,False,,,ISHARES 2020 CORP BOND ETF-IOPV,combo:"
21,"134038865,IBDD.IV,IND,,0,,,,PSE,USD,,,False,,,ISHARESBOND 2023 CORP ETF-IOPV,combo:"
22,"8314,IBM,STK,,0,,,,NYSE,USD,,,False,,,INTL BUSINESS MACHINES CORP,combo:"
23,"44026944,IBDRY,STK,,0,,,,PINK,USD,,,False,,,IBERDROLA SA-SPONSORED ADR,combo:"
24,"46586284,IBE,STK,,0,,,,BM,EUR,,,False,,,IBERDROLA SA.,combo:"
25,"8068883,IBN,STK,,0,,,,NYSE,USD,,,False,,,ICICI BANK LTD-SPON ADR,combo:"
26,"11517520,IBB,STK,,0,,,,NASDAQ,USD,,,False,,,ISHARES BIOTECHNOLOGY ETF,combo:"
27,"43645865,IBKR,STK,,0,,,,NASDAQ,USD,,,False,,,INTERACTIVE BROKERS GRO-CL A,combo:"
28,"354802220,IB01,STK,,0,,,,LSEETF,USD,,,False,,,ISHARES US TREAS 0-1YR USD A,combo:"
29,"521962337,IBC1,STK,,0,,,,GETTEX2,EUR,,,False,,,ISHARES US TREAS 0-1YR USD A,combo:"
30,"367733536,IB01N,STK,,0,,,,MEXI,MXN,,,False,,,ISHARES US TREAS 0-1YR USD A,combo:"
31,"68489974,IBTM,STK,,0,,,,LSEETF,GBP,,,False,,,ISHARES USD TREASURY 7-10Y,combo:"
32,"38708550,IBCXN,STK,,0,,,,MEXI,MXN,,,False,,,ISHARES EURO CORP LARGE CAP,combo:"
33,"272686955,IBTA,STK,,0,,,,LSEETF,USD,,,False,,,ISHARES USD TRSRY 1-3Y USD A,combo:"
34,"275310520,IBTAN,STK,,0,,,,MEXI,MXN,,,False,,,ISHARES USD TRSRY 1-3Y USD A,combo:"
35,"278157836,IBTA,STK,,0,,,,EBS,CHF,,,False,,,ISHARES USD TRSRY 1-3Y USD A,combo:"
36,"68490003,IBTS,STK,,0,,,,EBS,USD,,,False,,,ISHARES USD TRSRY 1-3Y USD D,combo:"
37,"453288957,I453288957,FUND,,0,,,,ALLFUNDS,USD,,,False,,,BNP PARIBAS EASY MARKIT IBOXX GLOBAL CORPORATES LIQUID 150 CAPPED ""C"" (USDHDG) ACC (BNP PARIBAS AM (LU)),combo:"
38,"399088608,I399088608,FUND,,0,,,,ALLFUNDS,USD,,,False,,,ROBECO HIGH YIELD BONDS ""IBXH""(USDHDG) INC (ROBECO INST AM (LU)),combo:"
39,"399088698,I399088698,FUND,,0,,,,ALLFUNDS,CHF,,,False,,,ROBECO BP US PREMIUM EQUITIES ""IBH"" (CHFHDG) INC (ROBECO INST AM (LU)),combo:"
40,"399088756,I399088756,FUND,,0,,,,ALLFUNDS,USD,,,False,,,ROBECO BP US PREMIUM EQUITIES ""IB"" (USD) INC (ROBECO INST AM (LU)),combo:"
41,"399088933,175783318,FUND,,0,,,,ALLFUNDS,EUR,,,False,,,ROBECO CHINESE EQUITIES ""IBH"" (EURHDG) INC (ROBECO INST AM (LU)),combo:"
42,"399089292,I399089292,FUND,,0,,,,ALLFUNDS,GBP,,,False,,,ROBECO GLOBAL CREDITS SHORT MATURITY ""IBH"" (GBPHDG) INC (ROBECO INST AM (LU)),combo:"
43,"399090260,I399090260,FUND,,0,,,,ALLFUNDS,GBP,,,False,,,ROBECO BP GLOBAL PREMIUM EQUITIES ""IB"" (GBP) INC (ROBECO INST AM (LU)),combo:"
44,"399090472,I399090472,FUND,,0,,,,ALLFUNDS,EUR,,,False,,,ROBECO GLOBAL CREDITS ""IBH"" (EURHDG) INC (ROBECO INST AM (LU)),combo:"
45,"15547816,LQD,STK,,0,,,,ARCA,USD,,,False,,,ISHARES IBOXX INVESTMENT GRA,combo:"
46,"43652089,HYG,STK,,0,,,,ARCA,USD,,,False,,,ISHARES IBOXX HIGH YLD CORP,combo:"
47,"14015396,4062,STK,,0,,,,TSEJ,JPY,,,False,,,IBIDEN CO LTD,combo:"
48,"406008447,IBTD,STK,,0,,,,NASDAQ,USD,,,False,,,ISHARES IBONDS DEC 2023 TERM,combo:"
49,"186660243,IBDP,STK,,0,,,,ARCA,USD,,,False,,,ISHARES IBONDS DEC 2024 TERM,combo:"
50,"12820953,IBKC,STK,,0,,,,VALUE,USD,,,False,,,IBERIABANK CORP,combo:"
51,"186660237,IBDO,STK,,0,,,,ARCA,USD,,,False,,,ISHARES IBONDS DEC 2023 TERM,combo:"
52,"95053807,TDTT,STK,,0,,,,ARCA,USD,,,False,,,FLEXSHARES IBOXX 3-YEAR TARG,combo:"
53,"406008303,IBTE,STK,,0,,,,NASDAQ,USD,,,False,,,ISHARES IBONDS DEC 2024 TERM,combo:"
54,"186660246,IBDQ,STK,,0,,,,ARCA,USD,,,False,,,ISHARES IBONDS DEC 2025 TERM,combo:"
55,"571764881,IBE.D1,STK,,0,,,,VALUE,EUR,,,False,,,IBERDROLA SA-RTS,combo:"
56,"247848905,IBDR,STK,,0,,,,ARCA,USD,,,False,,,ISHARES IBONDS DEC 2026 TERM,combo:"
57,"326462914,IBDN,STK,,0,,,,MEXI,MXN,,,False,,,ISHARES IBONDS DEC 2022 TERM,combo:"
58,"606302328,IBE.D,STK,,0,,,,VALUE,EUR,,,False,,,IBERDROLA SA,combo:"
59,"-1,,BOND,,0,,,,,,,,False,,,World Bank Group,e1449769combo:"
60,"-1,,BOND,,0,,,,,,,,False,,,International Bank for Reconstruction & Development,e1364164combo:"
61,"-1,,BOND,,0,,,,,,,,False,,,Bank OZK,e1601672combo:"
62,"-1,,BOND,,0,,,,,,,,False,,,Republic of Korea Ministry of,e3279600combo:"
63,"-1,,BOND,,0,,,,,,,,False,,,Industrial Bank of Korea,e1419066combo:"
64,"-1,,BOND,,0,,,,,,,,False,,,IBK Capital Corp/South Korea,e3885117combo:"
65,"-1,,BOND,,0,,,,,,,,False,,,IBRD Discount Notes,e3735380combo:"
66,"-1,,BOND,,0,,,,,,,,False,,,State of Berlin Germany,e3251450combo:"
67,"-1,,BOND,,0,,,,,,,,False,,,Iberdrola SA,e1408060combo:"
68,"-1,,BOND,,0,,,,,,,,False,,,First Horizon Corp,e1409000combo:"
69,"-1,,BOND,,0,,,,,,,,False,,,Iberiabank/Lafayette LA,e1585745combo:"
70,"-1,,BOND,,0,,,,,,,,False,,,IBERIABANK Corp,e1393928combo:"
71,"-1,,BOND,,0,,,,,,,,False,,,Hong Kong Special Administrati,e1665016combo:"
72,"-1,,BOND,,0,,,,,,,,False,,,Independent Bank Corp/MI,e1394194combo:"
73,"-1,,BOND,,0,,,,,,,,False,,,Independent Bank/Bay City MI,e1565454combo:"
74,"-1,,BOND,,0,,,,,,,,False,,,IB Finance Holding Co LLC,e1562260combo:"
75,"-1,,BOND,,0,,,,,,,,False,,,Iberiabank FSB,e1622127combo:"
76,"-1,,BOND,,0,,,,,,,,False,,,IBC Bancorp Inc,e1569140combo:"
77,"-1,,BOND,,0,,,,,,,,False,,,Interactive Brokers Group,e1375322combo:"
78,"-1,,BOND,,0,,,,,,,,False,,,Iberdrola Finanzas SAU,e2829333combo:"
79,"-1,,BOND,,0,,,,,,,,False,,,Iberdrola International BV,e1663555combo:"
80,"-1,,BOND,,0,,,,,,,,False,,,Ibercaja Banco SAU,e2628285combo:"
81,"-1,,BOND,,0,,,,,,,,False,,,Fundacion Bancaria Ibercaja,e2883886combo:"
82,"-1,,BOND,,0,,,,,,,,False,,,RBI IB Beteiligungs GmbH,e3298937combo:"
83,"-1,,BOND,,0,,,,,,,,False,,,Iberdrola Finance Ireland Ltd,e1645552combo:"
84,"-1,,BOND,,0,,,,,,,,False,,,IBM-CALL,e1580374combo:"
85,"-1,,BOND,,0,,,,,,,,False,,,IBM GF International Holdings,e3283759combo:"
86,"-1,,BOND,,0,,,,,,,,False,,,Ibiden Co Ltd,e1418645combo:"
87,"-1,,BOND,,0,,,,,,,,False,,,Banco INVEX SA IBMIGFF / HSBC Mexico SA,e3411067combo:"
88,"-1,,BOND,,0,,,,,,,,False,,,Iberwind Desenvolvimento e Pro,e3333820combo:"
